,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
log2_umis_per_cell[205],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[206],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[207],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[208],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[209],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[210],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[211],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[212],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[213],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[214],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[215],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[216],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[217],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[218],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[219],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[220],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[221],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[222],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[223],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[224],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[225],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[226],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[227],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[228],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[229],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[230],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[231],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[232],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[233],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[234],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[235],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
