,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
intercept,0.08942073377715151,0.05598045661757704,0.6399038158133338,-1.2340767752253818,-0.32390862403489695,0.11291249443757967,0.5216942187731717,1.3030740649304162,130.66417379363725,1.0465877912679156
umi_slope_before,-0.020969771936009955,0.07490041936497352,0.9829239066954343,-1.8424960407604196,-0.6803456103467502,-0.06910328890468909,0.626356879654629,2.008014832218794,172.21512753425867,1.0446940367178243
umi_slope_after,-0.9358841788307101,0.0004956945952018735,0.007153914104501463,-0.949198220912394,-0.9410252056739499,-0.9360632159160395,-0.9311380237181521,-0.9216361844263599,208.28551839263704,1.0409682861632652
cell_slope_before,-0.10768752132278726,0.1356522028725628,0.9621041190365609,-1.8393879007473224,-0.7777311847523543,-0.14157195542508866,0.5231562280235825,1.903072648670518,50.30260155761815,1.0632101868886472
cell_slope_after,-0.06470259467730329,0.0005834047913621683,0.007184859239948285,-0.07845688252711358,-0.06946389543829351,-0.06513278779233235,-0.059817962379359324,-0.05068369036149293,151.6689028969516,1.0430029399754066
bp,-0.09522548832715985,0.0595395214626569,0.6837746882233036,-1.3940869198028656,-0.5562182392516477,-0.1189737746232497,0.3463535868584833,1.317070695285809,131.8910606483737,1.0462615096002268
before_variance,-0.03944936167335049,0.12049927317545933,1.0221073210679201,-1.8384756712917874,-0.7559613609896116,-0.057320504780160556,0.6100536694587444,2.154387157821427,71.9488974811524,1.108066181287853
after_variance,0.34790514432374947,0.00038705923282202764,0.004980486981446482,0.33845715306758306,0.3444737684311955,0.34784000301457585,0.3510561593792527,0.35830106277894547,165.5727093803735,1.0462353839851828
conditional_mean[1],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
conditional_mean[2],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
conditional_mean[3],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
conditional_mean[4],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
conditional_mean[5],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
conditional_mean[6],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
conditional_mean[7],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
conditional_mean[8],1.8409776290251287,0.0008936462516011975,0.018067765886993877,1.8045400355066117,1.828842789744823,1.8412289671484352,1.8532023194034841,1.8759199047623363,408.7686991959261,1.0229118712191831
